
System Name,System ID,Level,Warp Range,Warp Range (Superhighway),Faction ID
87 Canpri - Solo,1022888209,60,0,0,-1
AB-77,292863980,33,40,40,-1
AB-78,347859725,34,40,40,-1
Abilakk Alpha,2038739638,30,20,20,-1
Abilakk Beta,139414838,30,20,20,-1
Abriluni,901134594,44,110,110,2796195869
Achillon,500227886,17,15,15,2064723306
Achrady,1045947414,40,70,70,1306860549
Aciben,1184282738,17,13,13,-1
Adelphi,337568179,32,23,23,-1
Adia Alpha,876333661,20,20,20,-1
Adia Beta,376606935,20,20,20,-1
Adn'Lo - Solo,326003384,50,0,0,-1
Ado,768871279,17,20,20,-1
Adrisilver,1321546824,50,185,185,669838839
Aeloria Triad,843022195,46,150,150,3522167047
Aerimea,634286176,35,26,26,669838839
Aeryndor,607060707,52,230,230,-1
Aesir,311302379,34,30,30,669838839
Aesuri,304388536,22,15,15,669838839
Aethera Nova,802110668,41,75,75,-1
Aetisan,78968,2,5,5,-1
Afritalis,81531,30,22,22,-1
Agataylor,551453548,52,230,230,2064723306
Agrico,78790,1,5,5,-1
Ain'Tok,10926405,38,61,56,-1
Aindia,1293550007,7,5,5,-1
Aiti,1089138051,33,26,26,2064723306
Ajilon,1691770428,25,17,17,-1
Aker,78521,4,5,5,-1
Alacti,78023,2,5,5,-1
Alafoss,138157544,40,40,40,1530685377
Alannah,81674,9,5,5,-1
Alarek,404511485,42,70,70,4153667145
Alastor,451070273,25,25,25,-1
Alatum,946558339,39,48,48,669838839
Alea,1930564350,45,120,120,2064723306
Alecto,1180879330,40,33,33,-1
Aletara,737799631,31,25,25,-1
Alfazori,712511282,43,27,27,-1
Algol,1619604774,64,1200,1200,1306860549
Alhazar,528251127,26,22,22,-1
Allonir,1967657235,50,27,27,-1
Almango,1747522756,43,75,75,2064723306
Alnilam,105829765,26,18,18,-1
Alonso,283762244,6,5,5,-1
Alorina,74630,1,5,5,-1
Alpha Centauri,1653126076,39,47,47,2064723306
Alpha Horunia,1656476637,26,22,22,-1
Alpha Majoris,1045657812,60,700,700,1306860549
Alpha Nerra,860622071,44,85,85,3292196998
Alpha Onias,604358262,36,38,38,669838839
Alpha Sector,134511276,50,185,185,-1
Alpha System,613331154,40,0,0,-1
Alta,1515339388,25,18,18,-1
Altair,449481168,39,48,48,2064723306
Altamid,1147698260,17,13,13,-1
Altanea,3712908,38,38,38,669838839
Altero,1456328729,60,150,150,1530685377
Altor,1814920219,25,25,25,-1
Alycen,1883651089,44,105,110,669838839
Amador,959318428,19,12,12,-1
Amagi,932520389,23,20,20,-1
Amargosa,17967008,38,44,44,-1
Ambit,1118904835,28,24,24,-1
Ami Bera,781961898,43,75,75,669838839
Ammaga,352058852,36,35,35,1530685377
Amok'tal,1340261195,32,25,25,-1
Amorandi,274544652,70,1950,1950,669838839
Ander,1635091362,53,255,255,-1
Andkara,473665314,30,24,24,-1
Andoria,31,34,30,30,2064723306
Andracona,912504673,56,200,200,-1
Andrita,252607143,36,29,29,-1
Andvaris,1422258500,15,13,13,-1
Angosia,739609161,25,18,18,2064723306
Animanu - Solo,234745149,45,0,0,-1
Annalu,1378207701,47,120,120,4153667145
Anorlo,2147004992,53,240,240,-1
Antaria,921774270,33,25,25,-1
Antigone,1351383965,25,25,25,-1
Antonehk,789724593,21,13,13,4153667145
Antrexi,1922741983,40,120,120,-1
Anzat Alpha,1832830529,30,20,20,-1
Anzat Beta,469633213,30,20,20,-1
Anómiria,194914750,48,145,145,-1
Aodaan,2070233084,8,5,5,-1
Aohabec - Solo,852534947,45,0,0,-1
Aonad Alpha,608311844,20,20,20,-1
Aonad Beta,185994535,20,20,20,-1
Aoro,79500,5,5,5,-1
Aperivi - Solo,614612280,50,0,0,-1
Apteryx - Mirror,2063988488,40,0,0,-1
Aquinelan Star,700869475,61,950,950,-1
Araiza,2076378378,18,12,12,-1
Aral - Solo,865688495,50,0,0,-1
Aralen,1819436074,50,185,185,669838839
Aramis,1096814337,52,230,230,-1
Aran,1549377956,50,110,110,-1
Arawath,1455604393,45,100,100,-1
Araxian,1118960870,37,75,75,-1
Arbutus - Elite Solo,1079408272,60,0,0,-1
Arcadion,109845501,23,20,20,-1
Arcaelus,804579908,36,34,34,-1
Archanis,626886232,39,52,185,4153667145
Archer,277313528,36,45,45,2064723306
Arcturus,167908404,39,47,47,2064723306
Ardaji,1072986698,45,120,120,669838839
Areal,8557317,56,355,355,2064723306
Arena System,1247308115,40,0,0,-1
Arentar,251691118,30,32,32,-1
Areoth,1463352005,70,1650,1650,1306860549
Ares Cradle,290219751,69,1550,1700,-1
Argandu,58793480,29,32,32,669838839
Argentomea,516359977,35,26,26,669838839
Ariadexa,1939261289,52,230,230,4153667145
Armanis Nebula,1643608566,47,125,125,3522167047
Arro Finte - Elite Solo,1184589475,50,0,0,-1
Artani Raux - Elite Solo,2073673941,50,0,0,-1
Artemis-DW - Solo,897887950,60,0,0,-1
Articoomb - Solo,678991839,45,0,0,-1
Articoomba - Elite Solo,474130958,45,0,0,-1
Aruna,37068128,21,13,13,2064723306
Ascher,2050638663,30,26,26,2064723306
Ash-tor,182422424,43,80,80,-1
Asil-A,1920366206,40,200,130,-1
Asiti Alpha,1466324689,20,20,20,-1
Asiti Beta,1220997168,20,20,20,-1
Asronal,1889839786,44,85,85,-1
Astertna,600808958,59,500,500,-1
Astif-5 - Elite Solo,1463922789,45,0,0,-1
Astilbe - Elite Solo,1302751120,50,0,0,-1
Astrida,1490914183,14,12,12,-1
Aszunso,568191579,55,240,240,1530685377
Atlhe,656714232,58,440,440,4153667145
Atraxi,538338846,35,35,35,-1
Atreig,719474967,16,12,12,-1
Attana,317134943,36,55,55,-1
Aucavoc - Solo,1324717338,50,0,0,-1
Aum,83373,9,5,5,-1
Aureole - Elite Solo,664412673,50,0,0,-1
Austin,237973622,40,0,0,-1
Avansa Alpha,992032794,30,20,20,-1
Avansa Beta,1313909326,30,20,20,-1
Avofall,1893789079,48,150,185,2064723306
Axanar,57277,36,45,45,2064723306
Axo'Tae,925162490,60,160,160,4138978039
Aylus Alpha,954632802,20,20,20,-1
Aylus Beta,1646316380,20,20,20,-1
Ayvren,186002583,38,48,48,-1
Azati,1922272828,34,27,27,-1
